EVA MYRIAN,SECRETARIA,29/12/20,17/10/21,2528667
ALVARO MARTIN,EDIL TITULAR,7/09/20,26/10/23,4251065
MARISA DANIELA,FISCAL LETRADO DEPARTAMENTAL,18/05/21,29/01/23,2918188
JUAN PABLO,EDIL,3/12/20,9/01/23,4460925
FERNANDO,DIPUTADO,22/12/20,13/12/23,4157354
SYLVIA,DIRECTORA NACIONAL,22/11/21,10/05/23,1543754
MARCELO,SECRETARIOMERCADO MODELO,3/02/21,28/06/22,1298960
HUGO ARIEL,EDIL,10/05/21,31/07/23,3347677
GERARDO ANDRES,DIPUTADO,4/06/21,27/06/22,1980232
JUAN JUSTO,DIRECTOR,23/06/21,24/07/23,3560400
RUBEN JOSE,PLANF. ESTRATEGICA DPTAL,2/06/21,27/06/23,1995560
RUBEN WILLIAMS,INSP.MAYOR,11/05/21,29/05/22,1417798
ELDER DIEGO,DIRECTOR,3/03/21,20/07/23,2002885
FERNANDO,SECRETARIO EJECUTIVO,21/08/21,24/10/21,1638511
LUIS,GERENTE DE REPARTICION,25/04/21,20/05/22,1318344
IRLE MAIDER,EDIL,1/10/20,25/10/21,3131756
FRANCISCO JAVIER,REP. DE LOS TRABAJADORES,11/07/21,27/09/22,1552187
JOSE GERARDO,SENADOR,30/07/21,16/08/23,1167699
JOSE ANTONIO,DIPUTADO,15/02/21,30/10/23,2945603
LUIS HECTOR,DELEGADO,20/06/21,5/04/23,2902840
NIRIA,SECRETARIO DE DIRECTORIO,26/04/21,24/12/22,3529236
HECTOR DANIEL,EDIL,1/05/21,5/02/23,3691680
JAVIER ZENON,DIR. GRAL. DE PROM. SOCIAL,6/04/21,9/07/23,2521816
LUIS ALBERTO,EDIL,3/04/21,16/04/22,1481093
RAFAEL,EDIL DEPARTAMENTAL,21/04/21,29/11/21,2699756
ALBERTO FABIAN,EDIL TITULAR,29/10/20,10/03/23,1381076
MARIA ISABEL,DIRECTORA U.M. RURAL,24/08/21,19/03/23,1200729
SEBASTIAN,EDIL TITULAR,13/04/21,29/06/23,3902063
ANA MONICA,EDIL,17/11/21,29/01/23,4239952
NORA ALICIA,ACTUARIO,16/06/21,6/12/22,1175001
WALDEMAR HEBERT,GERENTE COMERCIALIZACION (AREA FORESTAL),16/10/20,29/11/23,1278052
MARIA MERCEDES,DIRECTOR,21/12/21,5/02/23,1651970
ENRIQUE ANDRES,DIRECTOR DE UTE,24/09/20,9/04/22,927471
FERNANDO,DIRECTOR GENERAL DE COMERCIO,28/11/21,19/11/22,1215775
ALEJANDRO,SUB GERENTE GENEARAL,16/12/21,8/02/22,1382553
OLIVERA,EDIL,5/10/21,16/07/22,3798607
FREDIS,EDIL,30/12/21,2/11/21,2560122
MARIO,EDIL,2/03/21,28/10/22,2574858
PABLO,DTOR. DIVISION SALUD,22/11/21,6/06/22,1260340
DANIEL,EDIL,10/07/21,9/09/22,2693084
PEDRO ROQUE,DIRECTOR GENERAL,3/12/20,22/11/23,1227407
GABRIEL,GTE. DE RANC. Y E.E.,11/12/20,2/11/21,1694927
RAMON FRANCISCO,EDIL TITULAR,28/04/21,18/04/23,733744
LAURA,EDIL,6/10/21,10/03/23,3049570
MIRIAM AMELIA,EDIL,3/02/21,22/06/23,3627055
ROQUE DANIEL,INSP. MAYOR,10/06/21,18/08/23,1838770
IGNACIO,EDIL,14/09/21,18/05/22,3152549
JOSE LUIS,EDIL,15/06/21,7/05/22,3474511
DANIEL HUGO,CAPITAN DE NAVIO(CG),6/10/20,8/06/22,1502936
MARY BEATRIZ,DIRECTOR GRAL DE HIGIENE,26/01/21,7/09/23,2593271
LIDIA,EDIL,13/09/20,5/09/21,2775788
HUGO ROMAN,FISCAL LETRADO NACIONAL,2/06/21,3/12/22,1808592
GABRIELA ---,JUEZ LDO.INTERIOR,2/10/20,28/04/22,1651345
ALICIA,VICE PRESIDENTE,27/09/20,4/11/21,1796775
HUBERT,GERENTE DEORG. RECURSOS HUMANOS,25/10/20,23/12/21,1526118
GUALBERTO,EDIL,10/04/21,11/11/23,3355132
EDUARDO,EDIL,22/06/21,6/10/21,1114968
MATEO DANIEL,EDIL,18/03/21,22/08/23,4158703
DIVAR DANIEL,EDIL TITULAR,1/12/21,2/10/23,2571339
JOSE SEBASTIAN,ASESORIA LEGAL,8/11/20,14/10/23,3675869
ADRIANA RAQUEL,FISCAL LETRADO DEPARTAMENTAL,15/07/21,17/10/22,1214319
MIRIAM GUIOMAR,FISCAL ADJUNTO,28/12/20,6/10/21,1190993
CARLOS VALERIO,D. CULTURA,5/07/21,19/01/22,3226620
ENRIQUE,EDIL,20/08/21,13/09/21,2890624
ISMAEL,EDIL,31/10/21,4/07/23,3083201
MARIA ELIDA,EDIL DEPARTAMENTAL,15/12/21,19/03/22,2907635
MANUEL ERNESTO,FISCAL LETRADO NACIONAL,23/11/20,27/03/22,1008529
RIVERA,INSP. MAYOR,21/09/20,26/08/22,1512665
RICARDO,DIRECTOR DE AREA,16/05/21,8/11/22,1140927
RODRIGO MIGUEL,DECANO,15/08/21,24/10/21,1751699
JUAN CARLOS,EDIL,5/09/20,26/12/21,4010125
CARLOS DOMINGO,INSP. MAYOR,20/05/21,17/01/23,1460395
JOSE ANDRES,DIPUTADO,11/01/21,1/11/23,3056835
RODRIGO,RECTOR,23/04/21,23/10/23,1478116
OSCAR,EDIL,10/12/21,7/09/21,2711772
ROQUE EDISON,DIPUTADO,17/07/21,13/10/21,2936828
CLAUDIA,FISCAL LETRADO ADJUNTO,18/09/21,11/08/22,1952177
ELIZABETH,EDIL,3/12/21,18/06/22,1709720
SERGIO RAUL,EDIL,21/11/21,8/10/22,3198795
JOSE PABLO,DIR. COMUNICACION Y PRENSA,4/11/20,1/07/22,4271593
SILVIA,FISCAL LETRADO ADJUNTO,13/02/21,11/05/23,1283384
SERGIO,EDIL,3/08/21,9/01/22,3039078
MARIA TERESA,FISCAL LETRADO ADJUNTO,16/10/20,25/11/21,1900756
JULIO CESAR,INSP. MAYOR,30/08/21,5/12/22,1799159
ENRIQUE,EDIL,20/11/21,4/10/21,4053790
ADRIANA LAURA,JUEZ LDO.CAPITAL,12/01/21,14/09/23,1343426
SERGIO MARIO,DIRECTOR GENERAL,5/08/21,3/06/23,1745474
MIGUEL MEDARDO,EDIL DEPARTAMENTAL,10/12/21,7/09/21,3667695
ALFREDO ANGEL,DIPUTADO,5/11/20,28/08/22,1147469
DIEGO,EDIL,3/06/21,24/03/23,4601090
DARIO,INP. GRAL.,24/12/20,25/09/22,3518167
DANILO,VICE PRESIDENTE,23/05/21,12/05/23,809114
JUAN,DIRECTOR GENERAL,29/12/21,10/12/23,2003170
JOSE MARIA,DIRECTO DEPTO.,9/10/21,23/06/22,2703935
CARLOS FRANCISCO,DIRECTOR DPTO DE TALLERES,3/03/21,31/12/21,3024649
LUIS ALBERTO,ACTUARIO,6/10/20,12/06/23,4098958
OLDEMAR JACINTO,INSP.MAYOR,21/05/21,20/08/22,1455725
ANDREA,EDIL,3/11/21,2/02/22,3456159
DARDO,SECRETARIO GENERAL,13/12/21,21/09/23,3587713
ANA PATRICIA,INTENDENTE,29/12/20,17/10/21,3484354
BEATRIZ MARIA,DIRECTOR DE DIVISION FINANCIERO CONTABLE,7/09/20,26/10/23,1883622
TERESITA,SECRETARIA GENERAL,18/05/21,29/01/23,1265872
HERNANN ERIC,CAPITAN DE NAVIO (CG),3/12/20,9/01/23,1712939
PABLO EDUARDO,DIRECTOR  AREA,22/12/20,13/12/23,3011045
KARINA,ASESOR DE DIRECTORIO,22/11/21,10/05/23,3613452
JOSÉ ALBERTO,TITULAR,3/02/21,28/06/22,2735653
CARLOS RENZO,MINISTRO TRIB.APELA.,10/05/21,31/07/23,1059058
VICTOR,EDIL,4/06/21,27/06/22,1225736
RUBEN ANIBAL,DIRECTOR GENERAL,23/06/21,24/07/23,2875904
GABRIEL ALEJANDRO,GERENTE DE DIVISION,2/06/21,27/06/23,1752109
NINO,EDIL,11/05/21,29/05/22,3540133
DORA,DECANA,3/03/21,20/07/23,883779
HEBERT,GERENTE DE AREA,21/08/21,24/10/21,1211452
LUIS MARIA,FISCAL LETRADO NACIONAL,25/04/21,20/05/22,1115302
GONZALO,VOCAL,1/10/20,25/10/21,1445501
JUAN DANIEL,INSP. MAYOR (R),11/07/21,27/09/22,3534799
JOSE ALBERTO,MINISTRO TRIB. APELA,30/07/21,16/08/23,1391656
ADRIANA,EDIL,15/02/21,30/10/23,2000044
DANIEL BERNABE,DIRECTOR RECURSOS HUMANOS,20/06/21,5/04/23,1480917
CARLOS,EDIL TITULAR,26/04/21,24/12/22,3455738
CARLOS HUMBERTO,PTE. COMISION ADM. MERCADO MODELO,1/05/21,5/02/23,937802
IVONNE,ACTUARIO,6/04/21,9/07/23,975776
GONZALO RAMON,GTE. DIV. TECNICO PROFESIONAL,3/04/21,16/04/22,1866545
WASHINGTON ULISES,JUEZ LETRADO CAPITAL,21/04/21,29/11/21,1243231
ALBERTO,EDIL,29/10/20,10/03/23,2557876
GONZALO,GERENTE GENERAL,24/08/21,19/03/23,3580651
EDUARDO IGNACIO,SECRETARIO PRIVADO,13/04/21,29/06/23,968534
MARIO ISIDRO,ALCALDE MUNICIPIO DE QUEBRACHO,17/11/21,29/01/23,3686444
JULIO CESAR,DIPUTADO,16/06/21,6/12/22,3326366
HECTOR CARLOS,DIRECTOR GENERAL,16/10/20,29/11/23,3606702
GUSTAVO ADOLFO,EDIL TITULAR,21/12/21,5/02/23,1524010
CARLOS,SENADOR,24/09/20,9/04/22,845681
VERONICA,PTE. COM.ASES. ADJ. LICIT.,28/11/21,19/11/22,1475134
EDUARDO ALBERTO,SECRETARIO POLITICO,16/12/21,8/02/22,3319978
MARIO NELSON,EDIL,5/10/21,16/07/22,1579090
GONZALO MAURICIO,EDIL,30/12/21,2/11/21,3297979
GRACIELA TERESA,JUEZ LDO. SUPLENTE,2/03/21,28/10/22,1149395
GUSTAVO ADRIAN,DIRECTOR,22/11/21,6/06/22,3120531
MARIO  GUIDO,DIRECTOR,10/07/21,9/09/22,1356405
WILSON RAMON,EDIL DEPARTAMENTAL,3/12/20,22/11/23,3514482
PABLO HUGO,VICE PRESIDENTE,11/12/20,2/11/21,1508689
CARLOS,VOCAL,28/04/21,18/04/23,1620717
WLADIMIR,ASESOR DE DIRECTORIO,6/10/21,10/03/23,3606131
VICTOR,EDIL,3/02/21,22/06/23,1623920
SILVESTRE ---,JUEZ LETRADO INTERIOR,10/06/21,18/08/23,2946477
FABRIELA,EDIL,14/09/21,18/05/22,1744948
GERMAN,GERENTE DE APP,15/06/21,7/05/22,1392121
ISMAEL RAUL,GERENTE II,6/10/20,8/06/22,1273086
RAQUEL AMALIA,SECRETARIO DE DIRECTORIO,26/01/21,7/09/23,1142688
HUMBERTO,SUBGERENTE TECNICO,13/09/20,5/09/21,1193109
VICTOR MARIA,EDIL,2/06/21,3/12/22,3069649
OSCAR GUSTAVO,EDIL,2/10/20,28/04/22,3514191
JUAN CARLOS,DIRECTORº,27/09/20,4/11/21,3443161
SIOMARA,JUEZ LETRADO INTERIOR,25/10/20,23/12/21,2938458
MARIA SOLEDAD,FISCAL LETRADO DEPARTAMENTAL,10/04/21,11/11/23,1042866
ANA MARIA,JUEZ LETRADO CAPITAL,22/06/21,6/10/21,3198550
PABLO,DIRECTOR,18/03/21,22/08/23,2550971
HECTOR CICERON,EDIL,1/12/21,2/10/23,806373
JULIANA,EDIL,8/11/20,14/10/23,2796062
ARTIGAS ALEXIS,INTENDENTE,15/07/21,17/10/22,799391
DANIEL HONORIO,REPRESENTANTE FEMI,28/12/20,6/10/21,3889085
OSCAR DIEGO,EDIL DEPARTAMENTAL,5/07/21,19/01/22,2614760
RAFAEL ARTURO,EDIL TITULAR,20/08/21,13/09/21,3703483
JORGE OTTO,DTO. GRAL. GETION,31/10/21,4/07/23,1254459
HAYDEE EMILIA,ACTUARIO,15/12/21,19/03/22,1241497
HECTOR,GERENTE GENERAL,23/11/20,27/03/22,1389114
FAVIO DANIEL,EDIL,21/09/20,26/08/22,4378845
JULIO JOSE,DIPUTADO,16/05/21,8/11/22,1929117
EDUARDO,EDIL,15/08/21,24/10/21,3577919
ISABELINO WILSON,SECRE. PART. INTENDENTE,5/09/20,26/12/21,3167314
ROBERTO BENJAMIN,DIRECTOR FORESTAL,20/05/21,17/01/23,1219928
JOSE ARTURO,DIPUTADO,11/01/21,1/11/23,1349688
EDITH ELENA,ACTUARIO,23/04/21,23/10/23,899020
ROBERTO,DIRECTOR NACIONAL DE LA SEGURIDAD,10/12/21,7/09/21,1252158
ANA MARIA,EDIL,17/07/21,13/10/21,1329896
MARIA CRISTINA,DIRECTOR DE DIVISION,18/09/21,11/08/22,963000
VICTORIA,DIR. ESTABLECIMIENTO,3/12/21,18/06/22,1457500
RONI LUCAS,DIRECTOR,21/11/21,8/10/22,3164269
GUSTAVO ROBERTO,INSP. MAYOR,4/11/20,1/07/22,3138882
JULIA SUSANA,ACTUARIO,13/02/21,11/05/23,1658898
DIAMELA,DIRECTORA DE GERENCIA DE PROYECTOS,3/08/21,9/01/22,1748578
SILVANA,FISCAL LETRADO DEPARTAMENTAL,16/10/20,25/11/21,1138603
MANUEL JOAQUIN,GERENTE DE SISTEMAS DE INFORMATICA,30/08/21,5/12/22,1172273
ANA MARIA,JUEZ LETRADO CAPITAL,20/11/21,4/10/21,1338193
GRACIELA TERESITA,MINISTRO TRIBUNAL DE APELACIONES,12/01/21,14/09/23,902124
ERNESTO GABRIEL,DIRECTOR DIVISION,5/08/21,3/06/23,1417361
FRANCISCO SNATIAGO,PRESIDENTE,10/12/21,7/09/21,1258871
FLAVIO GUSTAVO,EDIL,5/11/20,28/08/22,1644606
GARY ASTUL,DIRECTOR FINACIERO,3/06/21,24/03/23,1810889
MARIA LILIAN,MINISTRO TRIB.APELACIONES,24/12/20,25/09/22,1360709
ENZO,PRESIDENTE DE JUNTA DIRECTIVA,23/05/21,12/05/23,2960362
ESTELA,DIRECTOR ADMINITRACION Y FINZ,29/12/21,10/12/23,1085826
GLORIA DEL CARMEN,EDIL,9/10/21,23/06/22,1277716
ANTONIO,EDIL,3/03/21,31/12/21,3441447
JUAN JOSÉ,JUEZ SUPLENTE,6/10/20,12/06/23,3700552
ROBERTO CARLOS,GERENTE GENERAL,21/05/21,20/08/22,981955
ANA MARIA,SECRETARIO GENERAL,3/11/21,2/02/22,3140642
JESUS,EDIL,13/12/21,21/09/23,3319570
ALVARO,DIRECTOR DE LA JUNTA DIRECTIVA,29/12/20,17/10/21,1683157
WILSON JESUS,SECRTARIO DE BANCADA,7/09/20,26/10/23,3122301
ANIBAL JOSE ENRIQUE,EDIL,18/05/21,29/01/23,3480987
BERTIL RANDOLF,INTENDENTE,3/12/20,9/01/23,2865942
MARTHA CATALINA,EDIL,22/12/20,13/12/23,3517558
MARIA DEL CARMEN,DIRECTORA INST. DE LA MUJER,22/11/21,10/05/23,1169577
WALTER ENRIQUE,DIRECTOR DE LIMPIEZA,3/02/21,28/06/22,3314694
MARIO ESTEBAN,PRESIDENTE,10/05/21,31/07/23,1775027
CARLOS,GERENTEB TECNICO REGION L.S,4/06/21,27/06/22,1384022
HECTOR FRANCISCO,DIRECTOR,23/06/21,24/07/23,810294
JAVIER,CAPITAN DE NAVIO (CP),2/06/21,27/06/23,1600508
LILIANA BEATRIZ,EDIL,11/05/21,29/05/22,3155487
JUAN PABLO,GTA  RELAC.INSTITUC.Y COMUNICACION,3/03/21,20/07/23,1523488
GUSTAVO DANIEL,DIPUTADO,21/08/21,24/10/21,1430710
JIMMY WILSON,EDIL,25/04/21,20/05/22,3331506
RICARDO CARLOS,DIPUTADO,1/10/20,25/10/21,3486396
MARIA DEL CARMEN,FISCAL LETRADO ADJUNTO,11/07/21,27/09/22,3965765
MA. DEL ROSARIO,JUEZ LETRADO CAPITAL,30/07/21,16/08/23,1895821
JUAN ANGEL,GERENTE DE DIVISION,15/02/21,30/10/23,1107741
AZUCENA ESTEFANIA,PRESIDENTE,20/06/21,5/04/23,546458
ANA MARIA,JUEZ LETRADO CAPITAL,26/04/21,24/12/22,1184161
ELIZABETH MARIA,GERENTE  DE AREA,1/05/21,5/02/23,2829059
ANDRES,PRESIDENTE,6/04/21,9/07/23,1680905
IGNACIO,VICEPRESIDENTE,3/04/21,16/04/22,1908931
HEBER ISIDRO,EDIL,21/04/21,29/11/21,3129755
ALEJANDRO MIGUEL,DIRECTOR GENERAL,29/10/20,10/03/23,2931993
SERGIO LEONEL,EDIL,24/08/21,19/03/23,3179767
MAURICIO,GERENTE ADMINISTRACION (AREA FORESTAL),13/04/21,29/06/23,2604621
EDUARDO,GTE.ADMREGION LIT. NORTE,17/11/21,29/01/23,2001397
INOCENCIO VICTOR,DIRECTOR GENERAL,16/06/21,6/12/22,3182274
ALVARO,SUBDIRECTOR GRAL,16/10/20,29/11/23,3330728
MÓNICA ANABEL,JUEZ LTODO.INTERIOR,21/12/21,5/02/23,1632431
PEDRO,CONTADOR DIRECTOR,24/09/20,9/04/22,2965554
JULIO GUILLERMO,INTENDENTE,28/11/21,19/11/22,3216181
ALBA MARIA,FISCAL LETRADO NACIONAL,16/12/21,8/02/22,928475
ALVARO JUAN FRANCISC,JUEZ LETRADO CAPITAL,5/10/21,16/07/22,2659998
DANIEL MARIO,DIPUTADO,30/12/21,2/11/21,3508126
ELEONORA,DIRECTORA GENERAL,2/03/21,28/10/22,1709809
LEONARDO JORGE,GERENTE SERVICIOS JURIDICOS,22/11/21,6/06/22,1353242
JORGE,JUEZ MILITAR,10/07/21,9/09/22,1169442
ROBERTO RAMON,REPRESENTANTE BPS,3/12/20,22/11/23,1011063
MARIA CECILIA,DIRECTORA,11/12/20,2/11/21,2821125
JESÚS,ACTUARIO,28/04/21,18/04/23,3193810
ALEJANDRO,EDIL,6/10/21,10/03/23,1591023
MARÍA CRISTINA,EDIL,3/02/21,22/06/23,3287610
PABLO ENIQUE,DIRECTOR VIALIDAD,10/06/21,18/08/23,2793095
PEDRO FELIPE,DIRECTOR DE SEGURIDAD,14/09/21,18/05/22,1265914
MARIA CRISTINA,AUDITORA GENRAL INT.,15/06/21,7/05/22,1252929
SENOVIO,EDIL,6/10/20,8/06/22,2549661
MARCELO,DIPUTADO,26/01/21,7/09/23,3244259
ROBERTO CARLOS,EDIL,13/09/20,5/09/21,4178315
SILVIA BERNARDITA,FISCAL LDO. DEPARTAMENTAL,2/06/21,3/12/22,3195233
CECILIA BEATRIZ,DIRECTORA ASUNTOS,2/10/20,28/04/22,1387920
KARIM DINORAH,EDIL,27/09/20,4/11/21,1717256
EULOGIO,EDIL,25/10/20,23/12/21,3536221
ANA MARIA,FISCAL LETRADO ADJUNTO,10/04/21,11/11/23,1406041
RODRIGO,EDIL,22/06/21,6/10/21,3844921
JUAN GONZALO,DIRECTOR,18/03/21,22/08/23,1299369
JOSE,GTE.INFORMATICA,1/12/21,2/10/23,1698661
GABRIEL,GTE. ADM. REGION LIT. SUR,8/11/20,14/10/23,1937220
DOMINGO,SECRETARIO GENERAL,15/07/21,17/10/22,3483896
SONIA STELLA,INSP. MAYOR,28/12/20,6/10/21,1030919
RAUL HERALDO,EDIL,5/07/21,19/01/22,3405878
ALBERTO GUSTAVO,REPRESENTANTE DE PRODUCTORES,20/08/21,13/09/21,737017
JOSE FRANCISCO,MINISTRO TRIBUNAL DE APELACIONES,31/10/21,4/07/23,946078
LUIS PABLO,SUP/TITULAR,15/12/21,19/03/22,3367003
SERGIO DARDO,EDIL,23/11/20,27/03/22,471542
HÉCTOR EDUARDO,EDIL,21/09/20,26/08/22,3203666
ALBA ESMERALDA,EDIL,16/05/21,8/11/22,2848856
JULIO CESAR,VICEPRESIDENTE,15/08/21,24/10/21,4038611
ALEXIS ARISTIDES,SECRETARIO GENERAL,5/09/20,26/12/21,3796986
MARIA CLAUDIA,GERENTE DE DIVISION TECNICO PROFESIONAL,20/05/21,17/01/23,3389416
MARCEL DAVID,EDIL DEPARTAMENTAL,11/01/21,1/11/23,1823659
EDISON EDUARDO,MINISTRO,23/04/21,23/10/23,1118221
JAVIER ISIDRO,JUEZ LDO.INTERIOR,10/12/21,7/09/21,3127047
PURA CONCEPCION,JUEZ LETRADO INTERIOR,17/07/21,13/10/21,3672653
SANDRA,FISCAL LETRADO NACIONAL,18/09/21,11/08/22,1825168
FREDY JOSE,SECRETARIO,3/12/21,18/06/22,1557695
JUAN PEDRO,SENADOR,21/11/21,8/10/22,1584569
GUILLERMO,SECRETARIO  EJECUTIVO,4/11/20,1/07/22,3180959
MARIA DEL ROSARIO,EDIL,13/02/21,11/05/23,2513362
MARÍA PATRICIA,JUEZ LDO. INTERIOR,3/08/21,9/01/22,2840053
EDUARDO NICASIO,MINISTRO TRIBUNAL DE APELACIONES,16/10/20,25/11/21,2679627
